,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
343,Harper,LR,76.64,light rain,4.375,-7.7169,Screensaver
344,Humberto De Campos,BR,77.47,scattered clouds,-2.5983,-43.4611,Pousada do Cabeça
346,Letlhakane,BW,72.77,scattered clouds,-21.4167,25.5833,Motswedi Hotel
348,Port Shepstone,ZA,70.61,scattered clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
353,Sale,MA,78.64,broken clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
355,Namatanai,PG,85.41,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
357,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
359,Itarema,BR,78.35,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
360,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
361,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
362,Sola,VU,83.07,clear sky,-13.8833,167.55,Leumerus Bungalows
363,Kochi,IN,85.98,overcast clouds,9.9399,76.2602,Trident Hotel Cochin
370,Isla Mujeres,MX,80.17,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
371,Pokhara,NP,71.67,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
374,Matara,LK,84.69,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
376,San Patricio,US,80.49,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
385,Cap Malheureux,MU,77.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
388,Touros,BR,78.13,few clouds,-5.1989,-35.4608,INN NEW HORIZON
389,Vila Velha,BR,71.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
390,Gizo,SB,85.15,broken clouds,-8.103,156.8419,Imagination Island
391,Gouyave,GD,79.57,few clouds,12.1646,-61.7296,Rumboat Retreat
393,Floriano,BR,78.13,broken clouds,-6.7669,-43.0225,Hotel Maktub
395,Itaituba,BR,75.85,overcast clouds,-4.2761,-55.9836,Hotel Campos
397,Noumea,NC,84.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
400,Dong Hoi,VN,77.4,heavy intensity rain,17.4833,106.6,Nam Long Hotel
403,Moroto,UG,71.44,scattered clouds,2.5345,34.6666,"Kara-Tunga, Karamoja Safari Camp"
406,Booue,GA,71.98,moderate rain,-0.0921,11.9385,Splendeur de l'équateur
407,Nkhata Bay,MW,80.17,broken clouds,-11.6066,34.2907,Mayoka Village
409,Lumphat,KH,85.48,overcast clouds,13.4878,106.9816,"Wing Seng Narong Agent, And Printing House"
420,Nacogdoches,US,75.06,overcast clouds,31.6002,-94.6335,The Fredonia Hotel & Convention Center
423,Mildura,AU,73.08,overcast clouds,-34.2,142.15,Mercure Hotel Mildura
427,Kawalu,ID,79.61,overcast clouds,-7.3817,108.2082,West Jontor
432,Luis Correia,BR,78.17,few clouds,-2.8792,-41.6669,Hotel Amarração
434,Caravelas,BR,71.74,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
437,Puerto Ayacucho,VE,73.2,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
439,Luganville,VU,78.75,broken clouds,-15.5333,167.1667,The Espiritu Hotel
